region	chr	midPos	Nsites
(93,592)(100,599)(100,600)	Mt	350	501	0.025815
(193,692)(200,699)(200,700)	Mt	450	501	0.024464
(293,792)(300,799)(300,800)	Mt	550	501	0.025696
(393,892)(400,899)(400,900)	Mt	650	501	0.026013
(493,992)(500,999)(500,1000)	Mt	750	501	0.022944
(593,1092)(600,1099)(600,1100)	Mt	850	501	0.020922
(693,1192)(700,1199)(700,1200)	Mt	950	501	0.022805
(793,1292)(800,1299)(800,1300)	Mt	1050	501	0.023277
(893,1392)(900,1399)(900,1400)	Mt	1150	501	0.019546
(993,1492)(1000,1499)(1000,1500)	Mt	1250	501	0.025815
(1093,1592)(1100,1599)(1100,1600)	Mt	1350	501	0.027935
(1193,1692)(1200,1699)(1200,1700)	Mt	1450	501	0.026138
(1293,1792)(1300,1799)(1300,1800)	Mt	1550	501	0.026340
(1393,1892)(1400,1899)(1400,1900)	Mt	1650	501	0.029029
(1493,1992)(1500,1999)(1500,2000)	Mt	1750	501	0.025547
(1593,2092)(1600,2099)(1600,2100)	Mt	1850	501	0.024996
(1693,2192)(1700,2199)(1700,2200)	Mt	1950	501	0.025850
(1793,2292)(1800,2299)(1800,2300)	Mt	2050	501	0.024528
(1893,2392)(1900,2399)(1900,2400)	Mt	2150	501	0.020672
(1993,2492)(2000,2499)(2000,2500)	Mt	2250	501	0.026917
(2093,2592)(2100,2599)(2100,2600)	Mt	2350	501	0.050720
(2193,2692)(2200,2699)(2200,2700)	Mt	2450	501	0.058032
(2293,2792)(2300,2799)(2300,2800)	Mt	2550	501	0.058412
(2393,2892)(2400,2899)(2400,2900)	Mt	2650	501	0.057785
(2493,2992)(2500,2999)(2500,3000)	Mt	2750	501	0.052807
(2593,3092)(2600,3099)(2600,3100)	Mt	2850	501	0.053390
(2693,3192)(2700,3199)(2700,3200)	Mt	2950	501	0.051927
(2793,3292)(2800,3299)(2800,3300)	Mt	3050	501	0.064670
(2893,3392)(2900,3399)(2900,3400)	Mt	3150	501	0.064366
(2993,3492)(3000,3499)(3000,3500)	Mt	3250	501	0.065155
(3093,3592)(3100,3599)(3100,3600)	Mt	3350	501	0.064882
(3193,3692)(3200,3699)(3200,3700)	Mt	3450	501	0.064630
(3293,3792)(3300,3799)(3300,3800)	Mt	3550	501	0.050837
(3393,3892)(3400,3899)(3400,3900)	Mt	3650	501	0.053760
(3493,3992)(3500,3999)(3500,4000)	Mt	3750	501	0.051174
(3593,4092)(3600,4099)(3600,4100)	Mt	3850	501	0.052981
(3693,4192)(3700,4199)(3700,4200)	Mt	3950	501	0.053050
(3793,4292)(3800,4299)(3800,4300)	Mt	4050	501	0.054798
(3893,4392)(3900,4399)(3900,4400)	Mt	4150	501	0.055640
(3993,4492)(4000,4499)(4000,4500)	Mt	4250	501	0.056707
(4093,4592)(4100,4599)(4100,4600)	Mt	4350	501	0.055771
(4193,4692)(4200,4699)(4200,4700)	Mt	4450	501	0.054992
(4293,4792)(4300,4799)(4300,4800)	Mt	4550	501	0.058234
(4393,4892)(4400,4899)(4400,4900)	Mt	4650	501	0.055356
(4493,4992)(4500,4999)(4500,5000)	Mt	4750	501	0.055947
(4593,5092)(4600,5099)(4600,5100)	Mt	4850	501	0.057227
(4693,5192)(4700,5199)(4700,5200)	Mt	4950	501	0.058113
(4793,5292)(4800,5299)(4800,5300)	Mt	5050	501	0.052870
(4893,5392)(4900,5399)(4900,5400)	Mt	5150	501	0.055329
(4993,5492)(5000,5499)(5000,5500)	Mt	5250	501	0.054786
(5093,5592)(5100,5599)(5100,5600)	Mt	5350	501	0.054492
(5193,5692)(5200,5699)(5200,5700)	Mt	5450	501	0.053170
(5293,5792)(5300,5799)(5300,5800)	Mt	5550	501	0.053224
(5393,5892)(5400,5899)(5400,5900)	Mt	5650	501	0.050772
(5493,5992)(5500,5999)(5500,6000)	Mt	5750	501	0.050139
(5593,6092)(5600,6099)(5600,6100)	Mt	5850	501	0.047984
(5693,6192)(5700,6199)(5700,6200)	Mt	5950	501	0.049470
(5793,6292)(5800,6299)(5800,6300)	Mt	6050	501	0.043120
(5893,6392)(5900,6399)(5900,6400)	Mt	6150	501	0.029042
(5993,6492)(6000,6499)(6000,6500)	Mt	6250	501	0.032352
(6093,6592)(6100,6599)(6100,6600)	Mt	6350	501	0.028309
(6193,6692)(6200,6699)(6200,6700)	Mt	6450	501	0.024701
(6293,6792)(6300,6799)(6300,6800)	Mt	6550	501	0.021920
(6393,6892)(6400,6899)(6400,6900)	Mt	6650	501	0.023028
(6493,6992)(6500,6999)(6500,7000)	Mt	6750	501	0.020586
(6593,7092)(6600,7099)(6600,7100)	Mt	6850	501	0.021184
(6693,7192)(6700,7199)(6700,7200)	Mt	6950	501	0.024858
(6793,7292)(6800,7299)(6800,7300)	Mt	7050	501	0.027271
(6893,7392)(6900,7399)(6900,7400)	Mt	7150	501	0.027620
(6993,7492)(7000,7499)(7000,7500)	Mt	7250	501	0.028673
(7093,7592)(7100,7599)(7100,7600)	Mt	7350	501	0.030711
(7193,7692)(7200,7699)(7200,7700)	Mt	7450	501	0.029358
(7293,7792)(7300,7799)(7300,7800)	Mt	7550	501	0.032848
(7393,7892)(7400,7899)(7400,7900)	Mt	7650	501	0.031972
(7493,7992)(7500,7999)(7500,8000)	Mt	7750	501	0.029437
(7593,8092)(7600,8099)(7600,8100)	Mt	7850	501	0.026332
(7693,8192)(7700,8199)(7700,8200)	Mt	7950	501	0.024540
(7793,8292)(7800,8299)(7800,8300)	Mt	8050	501	0.020007
(7893,8392)(7900,8399)(7900,8400)	Mt	8150	501	0.019521
(7993,8492)(8000,8499)(8000,8500)	Mt	8250	501	0.022636
(8093,8592)(8100,8599)(8100,8600)	Mt	8350	501	0.025560
(8193,8692)(8200,8699)(8200,8700)	Mt	8450	501	0.027807
(8293,8792)(8300,8799)(8300,8800)	Mt	8550	501	0.028460
(8393,8892)(8400,8899)(8400,8900)	Mt	8650	501	0.028734
(8493,8992)(8500,8999)(8500,9000)	Mt	8750	501	0.027524
(8593,9092)(8600,9099)(8600,9100)	Mt	8850	501	0.026290
(8693,9192)(8700,9199)(8700,9200)	Mt	8950	501	0.023951
(8793,9292)(8800,9299)(8800,9300)	Mt	9050	501	0.024411
(8893,9392)(8900,9399)(8900,9400)	Mt	9150	501	0.025859
(8993,9492)(9000,9499)(9000,9500)	Mt	9250	501	0.026360
(9093,9592)(9100,9599)(9100,9600)	Mt	9350	501	0.024081
(9193,9692)(9200,9699)(9200,9700)	Mt	9450	501	0.025945
(9293,9792)(9300,9799)(9300,9800)	Mt	9550	501	0.028350
(9393,9892)(9400,9899)(9400,9900)	Mt	9650	501	0.026961
(9493,9992)(9500,9999)(9500,10000)	Mt	9750	501	0.027771
(9593,10092)(9600,10099)(9600,10100)	Mt	9850	501	0.030040
(9693,10192)(9700,10199)(9700,10200)	Mt	9950	501	0.028303
(9793,10292)(9800,10299)(9800,10300)	Mt	10050	501	0.027666
(9893,10392)(9900,10399)(9900,10400)	Mt	10150	501	0.030282
(9993,10492)(10000,10499)(10000,10500)	Mt	10250	501	0.027681
(10093,10592)(10100,10599)(10100,10600)	Mt	10350	501	0.025501
(10193,10692)(10200,10699)(10200,10700)	Mt	10450	501	0.026808
(10293,10792)(10300,10799)(10300,10800)	Mt	10550	501	0.024578
(10393,10892)(10400,10899)(10400,10900)	Mt	10650	501	0.023655
(10493,10992)(10500,10999)(10500,11000)	Mt	10750	501	0.025748
(10593,11092)(10600,11099)(10600,11100)	Mt	10850	501	0.027882
(10693,11192)(10700,11199)(10700,11200)	Mt	10950	501	0.028432
(10793,11292)(10800,11299)(10800,11300)	Mt	11050	501	0.030174
(10893,11392)(10900,11399)(10900,11400)	Mt	11150	501	0.026442
(10993,11492)(11000,11499)(11000,11500)	Mt	11250	501	0.026227
(11093,11592)(11100,11599)(11100,11600)	Mt	11350	501	0.026662
(11193,11692)(11200,11699)(11200,11700)	Mt	11450	501	0.025273
(11293,11792)(11300,11799)(11300,11800)	Mt	11550	501	0.024657
(11393,11892)(11400,11899)(11400,11900)	Mt	11650	501	0.028044
(11493,11992)(11500,11999)(11500,12000)	Mt	11750	501	0.027164
(11593,12092)(11600,12099)(11600,12100)	Mt	11850	501	0.024431
(11693,12192)(11700,12199)(11700,12200)	Mt	11950	501	0.026716
(11793,12292)(11800,12299)(11800,12300)	Mt	12050	501	0.027832
(11893,12392)(11900,12399)(11900,12400)	Mt	12150	501	0.027314
(11993,12492)(12000,12499)(12000,12500)	Mt	12250	501	0.025669
(12093,12592)(12100,12599)(12100,12600)	Mt	12350	501	0.027227
(12193,12692)(12200,12699)(12200,12700)	Mt	12450	501	0.026480
(12293,12792)(12300,12799)(12300,12800)	Mt	12550	501	0.023913
(12393,12892)(12400,12899)(12400,12900)	Mt	12650	501	0.023505
(12493,12992)(12500,12999)(12500,13000)	Mt	12750	501	0.026630
(12593,13092)(12600,13099)(12600,13100)	Mt	12850	501	0.026332
(12693,13192)(12700,13199)(12700,13200)	Mt	12950	501	0.026352
(12793,13292)(12800,13299)(12800,13300)	Mt	13050	501	0.023957
(12893,13392)(12900,13399)(12900,13400)	Mt	13150	501	0.022416
(12993,13492)(13000,13499)(13000,13500)	Mt	13250	501	0.020623
(13093,13592)(13100,13599)(13100,13600)	Mt	13350	501	0.020719
(13193,13692)(13200,13699)(13200,13700)	Mt	13450	501	0.017153
(13293,13792)(13300,13799)(13300,13800)	Mt	13550	501	0.020357
(13393,13892)(13400,13899)(13400,13900)	Mt	13650	501	0.022811
(13493,13992)(13500,13999)(13500,14000)	Mt	13750	501	0.024137
(13593,14092)(13600,14099)(13600,14100)	Mt	13850	501	0.023887
(13693,14192)(13700,14199)(13700,14200)	Mt	13950	501	0.025211
(13793,14292)(13800,14299)(13800,14300)	Mt	14050	501	0.023127
(13893,14392)(13900,14399)(13900,14400)	Mt	14150	501	0.023135
(13993,14492)(14000,14499)(14000,14500)	Mt	14250	501	0.021777
(14093,14592)(14100,14599)(14100,14600)	Mt	14350	501	0.024151
(14193,14692)(14200,14699)(14200,14700)	Mt	14450	501	0.024102
(14293,14792)(14300,14799)(14300,14800)	Mt	14550	501	0.024902
(14393,14892)(14400,14899)(14400,14900)	Mt	14650	501	0.021525
(14493,14992)(14500,14999)(14500,15000)	Mt	14750	501	0.023842
(14593,15092)(14600,15099)(14600,15100)	Mt	14850	501	0.019999
(14693,15192)(14700,15199)(14700,15200)	Mt	14950	501	0.024018
(14793,15292)(14800,15299)(14800,15300)	Mt	15050	501	0.025325
(14893,15392)(14900,15399)(14900,15400)	Mt	15150	501	0.028673
(14993,15492)(15000,15499)(15000,15500)	Mt	15250	501	0.026962
(15093,15592)(15100,15599)(15100,15600)	Mt	15350	501	0.030448
(15193,15692)(15200,15699)(15200,15700)	Mt	15450	501	0.031796
(15293,15792)(15300,15799)(15300,15800)	Mt	15550	501	0.030521
(15393,15892)(15400,15899)(15400,15900)	Mt	15650	501	0.030062
(15493,15992)(15500,15999)(15500,16000)	Mt	15750	501	0.028538
(15593,16092)(15600,16099)(15600,16100)	Mt	15850	501	0.027649
(15693,16192)(15700,16199)(15700,16200)	Mt	15950	501	0.023204
(15793,16292)(15800,16299)(15800,16300)	Mt	16050	501	0.023908
(15893,16392)(15900,16399)(15900,16400)	Mt	16150	501	0.025407
(15993,16492)(16000,16499)(16000,16500)	Mt	16250	501	0.027905
(16093,16592)(16100,16599)(16100,16600)	Mt	16350	501	0.025251
(16193,16692)(16200,16699)(16200,16700)	Mt	16450	501	0.026578
(16293,16792)(16300,16799)(16300,16800)	Mt	16550	501	0.026943
(16393,16892)(16400,16899)(16400,16900)	Mt	16650	501	0.023937
(16493,16992)(16500,16999)(16500,17000)	Mt	16750	501	0.022450
(16593,17092)(16600,17099)(16600,17100)	Mt	16850	501	0.025449
(16693,17192)(16700,17199)(16700,17200)	Mt	16950	501	0.025168
(16793,17292)(16800,17299)(16800,17300)	Mt	17050	501	0.028354
(16893,17392)(16900,17399)(16900,17400)	Mt	17150	501	0.029536
(16993,17492)(17000,17499)(17000,17500)	Mt	17250	501	0.031668
(17093,17592)(17100,17599)(17100,17600)	Mt	17350	501	0.028695
(17193,17692)(17200,17699)(17200,17700)	Mt	17450	501	0.030606
(17293,17792)(17300,17799)(17300,17800)	Mt	17550	501	0.027601
(17393,17892)(17400,17899)(17400,17900)	Mt	17650	501	0.026907
(17493,17992)(17500,17999)(17500,18000)	Mt	17750	501	0.024653
(17593,18092)(17600,18099)(17600,18100)	Mt	17850	501	0.025919
(17693,18192)(17700,18199)(17700,18200)	Mt	17950	501	0.025535
(17793,18292)(17800,18299)(17800,18300)	Mt	18050	501	0.024269
(17893,18392)(17900,18399)(17900,18400)	Mt	18150	501	0.026778
(17993,18492)(18000,18499)(18000,18500)	Mt	18250	501	0.029951
(18093,18592)(18100,18599)(18100,18600)	Mt	18350	501	0.029886
(18193,18692)(18200,18699)(18200,18700)	Mt	18450	501	0.027102
(18293,18792)(18300,18799)(18300,18800)	Mt	18550	501	0.026883
(18393,18892)(18400,18899)(18400,18900)	Mt	18650	501	0.024736
(18493,18992)(18500,18999)(18500,19000)	Mt	18750	501	0.022005
(18593,19092)(18600,19099)(18600,19100)	Mt	18850	501	0.025376
(18693,19192)(18700,19199)(18700,19200)	Mt	18950	501	0.027808
(18793,19292)(18800,19299)(18800,19300)	Mt	19050	501	0.027595
(18893,19392)(18900,19399)(18900,19400)	Mt	19150	501	0.025705
(18993,19492)(19000,19499)(19000,19500)	Mt	19250	501	0.027700
(19093,19592)(19100,19599)(19100,19600)	Mt	19350	501	0.023321
(19193,19692)(19200,19699)(19200,19700)	Mt	19450	501	0.021667
(19293,19792)(19300,19799)(19300,19800)	Mt	19550	501	0.020447
(19393,19892)(19400,19899)(19400,19900)	Mt	19650	501	0.025085
(19493,19992)(19500,19999)(19500,20000)	Mt	19750	501	0.021741
(19593,20092)(19600,20099)(19600,20100)	Mt	19850	501	0.024821
